dataset,grid,pe_type,seed,source,pe_key,row_acc,row_cv_std,row_n_splits,column_acc,column_cv_std,column_n_splits,position_acc,position_cv_std,position_n_splits,source_file
ImageNet-100,14x14,Learned,42,/content/drive/MyDrive/Trained models_ImageNet100/learned_seed42/best_model.pth,pos_encoding.pos_embed,74.46153846153847,6.767676589260972,5,38.256410256410255,7.720290981152332,5,87.75510204081633,0.0,1,per_seed_probe_results(1).csv
ImageNet-100,14x14,Learned,123,/content/drive/MyDrive/Trained models_ImageNet100/learned_seed123/best_model.pth,pos_encoding.pos_embed,77.52564102564101,7.202755335157922,5,29.56410256410257,5.078994656353129,5,84.6938775510204,0.0,1,per_seed_probe_results(2).csv
ImageNet-100,14x14,Learned,456,/content/drive/MyDrive/Trained models_ImageNet100/learned_seed456/best_model.pth,pos_encoding.pos_embed,76.51282051282051,6.8141477915376765,5,26.0,6.8603042084884684,5,82.14285714285714,0.0,1,per_seed_probe_results(3).csv
ImageNet-100,14x14,Sinusoidal,fixed,generated,generated_sinusoidal,89.32051282051283,5.1082303289903725,5,0.0,0.0,5,100.0,0.0,1,per_seed_probe_results(3).csv
CIFAR-100,8x8,Learned,42,/content/drive/MyDrive/Trained models_CIFAR100/learned_seed42/best_model.pth,pos_encoding.pos_embed,54.48717948717948,7.275005620056979,5,59.23076923076923,4.615384615384617,5,100.0,0.0,1,per_seed_probe_results(4).csv
CIFAR-100,8x8,Learned,123,/content/drive/MyDrive/Trained models_CIFAR100/learned_seed123/best_model.pth,pos_encoding.pos_embed,49.87179487179486,5.070184598278251,5,57.692307692307686,4.865042554105202,5,100.0,0.0,1,per_seed_probe_results(5).csv
CIFAR-100,8x8,Learned,456,/content/drive/MyDrive/Trained models_CIFAR100/learned_seed456/best_model.pth,pos_encoding.pos_embed,51.41025641025641,4.87179487179487,5,59.23076923076923,4.615384615384617,5,100.0,0.0,1,per_seed_probe_results(6).csv
CIFAR-100,8x8,Sinusoidal,fixed,generated,generated_sinusoidal,86.02564102564104,7.435897435897436,5,0.0,0.0,5,100.0,0.0,1,per_seed_probe_results(6).csv
TinyImageNet,14x14,Learned,42,/content/drive/MyDrive/Trained models_TinyImageNet/learned_seed42/best_model.pth,pos_encoding.pos_embed,81.67948717948718,8.639960369548968,5,49.00000000000001,5.622580566679044,5,96.93877551020408,0.0,1,per_seed_probe_results(7).csv
TinyImageNet,14x14,Sinusoidal,fixed,generated,generated_sinusoidal,89.32051282051283,5.1082303289903725,5,0.0,0.0,5,100.0,0.0,1,per_seed_probe_results(7).csv
